Designator,Mid X,Mid Y,Rotation,Layer
C1,56.936,-59.182,0.0,top
C2,40.854,-38.354,180.0,top
C3,50.252,-42.164,180.0,top
C4,74.422,-46.736,180.0,top
C5,51.054,-48.768,180.0,top
D1,55.88,-55.626,0.0,top
D2,42.672,-55.626,0.0,top
D3,40.386,-35.052,90.0,top
D4,58.928,-42.164,0.0,top
D5,66.548,-45.466,180.0,top
D6,58.928,-48.768,0.0,top
D7,73.66,-52.329,90.0,top
F1,37.592,-76.454,90.0,top
J1,37.592,-83.825,180.0,top
J2,43.18,-84.836,90.0,top
J3,43.18,-80.772,90.0,top
J4,34.798,-30.988,180.0,top
J5,73.66,-27.754,0.0,top
J6,73.66,-39.37,0.0,top
J7,41.148,-42.164,270.0,top
K1,44.2045,-69.85,90.0,top
K2,45.998,-31.146,90.0,top
L1,40.894,-49.022,180.0,top
Q1,73.152,-55.54,180.0,top
R1,56.134,-52.324,90.0,top
R2,58.928,-52.324,0.0,top
R3,52.832,-59.182,180.0,top
